---开始出题目---
99 - 93 = 	33 × 49 = 	98 - 70 = 	32 ÷ 12 = 	71 + 22 = 	
6 - 14 = 	44 - 44 = 	33 ÷ 25 = 	13 - 47 = 	64 × 85 = 	
26 × 80 = 	24 × 39 = 	17 × 6 = 	1 ÷ 2 = 	26 + 79 = 	
43 × 42 = 	60 - 15 = 	38 - 81 = 	27 - 49 = 	42 × 24 = 	
74 ÷ 70 = 	88 × 91 = 	18 × 62 = 	99 - 87 = 	99 ÷ 88 = 	
6 + 42 = 	29 × 97 = 	33 - 48 = 	59 - 17 = 	73 × 74 = 	
65 + 61 = 	12 - 5 = 	81 ÷ 56 = 	71 × 84 = 	96 + 89 = 	
83 + 73 = 	91 × 41 = 	20 ÷ 87 = 	53 × 28 = 	94 - 73 = 	
57 - 80 = 	71 + 47 = 	99 + 52 = 	35 ÷ 15 = 	79 - 42 = 	
8 × 65 = 	58 ÷ 35 = 	92 + 64 = 	14 ÷ 62 = 	17 × 11 = 	
11 × 83 = 	97 ÷ 23 = 	30 + 8 = 	66 × 75 = 	26 × 87 = 	
18 - 15 = 	30 ÷ 57 = 	20 + 75 = 	85 × 94 = 	51 + 57 = 	
44 ÷ 25 = 	75 × 2 = 	87 - 47 = 	22 - 91 = 	90 × 4 = 	
7 × 80 = 	35 + 19 = 	42 ÷ 52 = 	48 + 55 = 	93 - 16 = 	
46 + 81 = 	15 ÷ 16 = 	14 × 42 = 	78 ÷ 37 = 	37 + 60 = 	
95 ÷ 19 = 	42 × 88 = 	35 - 15 = 	89 × 89 = 	58 ÷ 8 = 	
36 ÷ 99 = 	38 + 98 = 	43 × 33 = 	3 + 62 = 	98 × 2 = 	
50 + 34 = 	97 ÷ 2 = 	44 × 57 = 	51 - 12 = 	10 - 66 = 	
79 × 88 = 	8 × 39 = 	10 - 22 = 	47 - 51 = 	31 - 10 = 	
27 + 56 = 	34 ÷ 63 = 	49 × 49 = 	18 + 36 = 	31 × 65 = 	
---总共出了100道四则运算题---
